invoice_id,item_id,quantity
1,0-365-25576-9,4
1,1-4257-3976-8,4
1,0-7127-8604-X,2
1,1-59126-379-4,4
1,0-86177-963-0,2
2,1-227-05897-7,2
2,0-86177-963-0,2
2,0-01-717479-1,2
3,1-227-05897-7,3
3,0-493-95641-7,2
3,1-884638-12-0,3
3,1-04-310548-4,2
3,1-239-86834-0,4
3,0-7141-8546-9,1
4,0-592-74293-8,4
4,1-4083-0399-X,2
4,0-351-94756-6,1
4,0-7631-7289-8,3
5,1-70408-579-9,3
5,1-75223-297-6,1
5,0-476-73108-9,2
5,1-160-77306-8,3
5,0-351-94756-6,1
5,0-9514693-2-0,4
5,1-222-32214-5,3
5,0-688-92085-3,4
6,0-682-99878-8,4
6,1-4457-9816-6,4
7,0-311-52527-X,4
7,1-890677-17-5,2
7,0-88310-438-5,1
7,0-458-05510-7,3
7,0-232-08154-9,2
7,0-667-81667-4,4
8,1-00-096050-1,3
8,0-01-717479-1,4
8,0-351-94756-6,4
8,1-4467-6096-0,4
9,0-8007-9637-3,4
9,1-00-166641-0,1
10,1-64504-451-3,4
10,1-208-92581-4,3
10,1-4476-3417-9,1
10,1-67482-003-8,4
11,0-86177-963-0,2
11,0-8189-0617-0,4
11,1-9751-8430-0,3
11,0-447-44840-4,2
11,1-4545-6428-8,1
11,0-682-99878-8,2
11,1-237-95200-X,3
12,1-320-98453-3,2
12,1-164-11369-0,1
13,0-232-08154-9,3
13,1-4274-3175-2,2
13,0-667-81667-4,4
13,0-248-44413-1,1
13,1-4494-5955-2,2
14,1-227-05897-7,2
14,1-237-95200-X,2
14,1-4274-3175-2,3
14,1-65593-056-7,1
14,0-8216-5501-9,4
14,1-4083-0399-X,2
14,1-5220-1394-6,4
14,0-476-73108-9,4
15,0-311-52527-X,2
15,1-222-32214-5,2
15,1-129-18864-7,3
15,0-7631-7289-8,4
15,0-87173-237-8,4
15,0-493-95641-7,1
15,0-489-42461-9,4
15,0-476-73108-9,1
15,0-02-380423-8,2
16,1-354-00803-0,2
16,1-278-82083-3,3
16,0-8189-0617-0,2
16,1-222-32214-5,2
16,1-75223-297-6,1
16,0-87173-237-8,4
16,1-4457-9816-6,3
17,0-02-380423-8,1
17,1-5220-1394-6,3
17,1-66068-167-7,1
17,0-489-42461-9,3
18,1-118-05964-6,1
18,1-70408-579-9,3
18,0-8216-5501-9,3
19,1-207-93326-0,1
19,1-208-92581-4,2
19,1-320-98453-3,2
20,0-12-286448-4,2
20,1-129-18864-7,4
20,1-83164-707-9,2
20,0-8189-0617-0,4
20,0-311-52527-X,4
20,1-01-376732-2,2
21,0-458-05510-7,1
21,1-107-39856-8,3
21,1-71447-910-2,3
21,1-160-77306-8,3
22,1-69103-395-2,1
22,0-469-21982-3,1
22,0-596-89331-0,2
22,1-164-11369-0,1
23,0-01-717479-1,4
23,1-4494-5955-2,4
23,0-8153-0450-1,2
23,1-64504-451-3,1
23,0-16-871315-2,2
24,0-539-97347-5,2
24,1-4476-3417-9,2
24,0-9514693-2-0,4
25,0-248-44413-1,4
25,1-59126-379-4,2
25,0-14-678009-4,2
25,1-67482-003-8,1
25,1-00-096050-1,4
25,0-18-258946-3,1
25,1-4407-1966-7,4
26,1-71447-910-2,3
26,1-66068-167-7,1
26,1-5220-1394-6,2
27,1-164-11369-0,3
27,1-82092-463-7,2
27,1-933260-00-9,3
27,0-16-871315-2,1
27,1-884638-12-0,2
27,1-229-04757-3,2
27,1-354-00803-0,4
28,0-8189-0617-0,2
28,1-129-18864-7,1
28,0-289-91901-0,4
28,1-158-30233-9,3
28,0-9878492-7-1,4
28,0-476-73108-9,1
28,1-229-04757-3,2
28,0-232-08154-9,3
28,1-4476-3417-9,4
29,0-05-597353-1,4
29,1-83164-707-9,3
29,1-65593-056-7,3
29,1-933260-00-9,2
29,0-9878492-7-1,2
29,1-04-310548-4,4
29,0-942663-19-5,2
30,1-207-93326-0,3
30,0-596-89331-0,1
30,0-447-44840-4,2
30,1-04-310548-4,3
30,0-942663-19-5,2
30,1-60642-190-5,2
30,0-577-58554-1,4
30,0-8007-9637-3,2
30,1-933260-00-9,3
31,0-351-94756-6,3
31,1-4476-3417-9,2
31,1-237-95200-X,3
31,0-493-95641-7,1
31,1-69103-395-2,2
32,1-239-86834-0,4
32,1-82092-463-7,3
32,0-14-678009-4,4
32,0-239-93663-9,1
32,0-469-21982-3,1
32,0-667-81667-4,1
33,1-69103-395-2,2
33,1-5437-3256-9,1
33,0-8007-9637-3,1
33,0-289-91901-0,1
33,0-12-286448-4,3
33,0-9878492-7-1,1
34,0-87173-237-8,2
34,0-8153-0450-1,4
34,1-4274-3175-2,1
34,0-493-95641-7,3
34,1-160-77306-8,4
34,0-8007-9637-3,2
34,0-12-286448-4,3
34,1-227-05897-7,4
35,1-107-39856-8,2
35,0-668-16718-1,1
35,0-493-95641-7,1
35,1-5339-0165-1,3
36,1-229-04757-3,3
36,1-59126-379-4,4
36,0-383-11312-1,3
36,0-592-74293-8,3
36,0-489-42461-9,4
36,1-75223-297-6,3
36,0-87173-237-8,3
36,0-06-087973-4,3
37,0-8153-0450-1,3
37,1-4467-6096-0,2
37,0-447-44840-4,1
37,0-667-81667-4,2
37,1-4457-9816-6,3
38,0-8007-9637-3,1
38,0-01-717479-1,4
38,1-60642-190-5,2
38,0-9514693-2-0,3
38,1-4545-6428-8,3
38,0-88310-438-5,2
39,0-232-08154-9,4
39,0-02-380423-8,1
40,0-01-717479-1,3
40,0-18-258946-3,4
40,0-9878492-7-1,2
41,0-668-16718-1,1
41,1-64504-451-3,1
41,1-56486-493-6,2
41,0-87173-237-8,1
41,0-8216-5501-9,3
41,0-7141-8546-9,1
41,0-302-41872-5,2
41,0-577-58554-1,4
41,1-320-98453-3,3
42,1-59126-379-4,4
42,1-4545-6428-8,4
42,1-82092-463-7,3
42,1-84426-958-2,3
42,1-4257-3976-8,2
43,1-5437-3256-9,1
43,1-59126-379-4,1
