inv_id,acct_id,inv_total,inv_items,acct_age,num_inv_120d,cum_tot_inv_acct,is_late
1,1,150688.82,16,1626,23,56,1
2,1,69363.78,6,1433,17,22,0
3,1,147434.99,15,1392,12,13,0
4,1,136826.63,10,1541,21,41,0
5,1,308846.37,21,1600,20,50,0
6,1,9787.72,8,1424,17,20,0
7,1,147924.41,16,1402,16,17,0
8,1,137621.43,15,1454,18,26,0
9,1,11299.5,5,1396,14,15,0
10,1,124059.65,12,1506,21,33,0
11,1,111812.0,17,1560,19,44,1
12,1,35051.03,3,1394,13,14,0
13,1,126570.35,12,1616,23,54,0
14,1,237957.76,22,1579,19,47,0
15,1,214171.37,23,1374,10,11,1
16,1,168124.8,17,1313,4,5,0
17,1,55486.75,8,1413,17,18,0
18,1,100269.37,7,1350,8,9,0
19,1,36407.18,5,1431,16,21,0
20,1,111663.22,18,1401,15,16,0
21,1,182291.01,10,1418,18,19,0
22,1,63934.67,5,1304,2,3,0
23,1,144639.78,13,1611,23,53,0
24,1,67645.64,8,1508,22,34,0
25,1,159592.37,18,1533,21,39,0
26,1,94318.19,6,1441,18,25,0
27,1,148037.74,17,1391,11,12,0
28,1,134857.09,24,1455,19,27,0
29,1,165845.9,20,1469,20,29,0
30,1,143352.64,22,1305,3,4,0
31,1,95433.38,11,1580,20,49,0
32,1,139545.04,14,1661,20,61,0
33,1,82697.98,9,1558,19,43,0
34,1,211761.95,23,1604,21,51,1
35,1,138372.57,7,1649,21,60,0
36,1,295361.99,26,1552,20,42,1
37,1,82240.85,11,1326,6,7,0
38,1,147571.1,15,1566,19,45,1
39,1,12888.11,5,1436,16,23,0
40,1,56735.09,9,1522,21,38,0
41,1,191351.62,18,1635,21,58,1
42,1,123814.0,16,1513,22,36,0
43,1,163335.19,18,1503,20,32,0
44,1,77862.99,17,1368,9,10,0
45,1,64769.61,6,1298,0,1,0
46,1,127342.93,17,1493,19,30,1
47,1,162807.55,14,1579,19,48,1
48,1,103837.92,13,1648,20,59,0
49,1,134847.76,17,1313,4,6,0
50,1,209697.9,23,1521,21,37,0
51,1,77891.2,6,1537,21,40,0
52,1,193556.16,15,1567,20,46,0
53,1,84129.33,5,1438,17,24,0
54,1,226514.75,18,1501,19,31,0
55,1,197904.56,19,1624,22,55,1
56,1,123135.68,8,1336,7,8,0
57,1,164118.86,15,1633,21,57,1
58,1,164322.8,18,1459,19,28,0
59,1,71072.61,8,1607,22,52,0
60,1,21361.68,8,1508,22,35,0
61,1,25599.46,2,1303,1,2,0
62,2,235713.03,16,1091,6,9,0
63,2,93629.05,12,1137,7,11,0
64,2,230457.51,22,1216,6,16,1
65,2,219065.47,20,1055,3,5,0
66,2,93547.11,9,1148,8,12,0
67,2,138901.73,20,971,2,3,1
68,2,78473.38,10,1261,7,19,0
69,2,209052.01,22,1215,5,15,1
70,2,272514.4,22,1176,8,14,1
71,2,213433.04,13,1075,3,6,0
72,2,215475.83,22,1165,8,13,0
73,2,113809.87,7,1097,6,10,0
74,2,49910.99,8,1037,3,4,0
75,2,130518.86,18,935,1,2,0
76,2,40104.28,2,1076,4,7,0
77,2,141337.87,12,1227,7,18,0
78,2,164687.24,15,922,0,1,0
79,2,237337.63,23,1226,6,17,0
80,2,160917.64,22,1081,5,8,1
81,3,221164.16,21,1192,22,35,1
82,3,312637.71,20,1256,20,47,0
83,3,300288.25,28,1238,21,46,0
84,3,276883.26,26,1145,19,28,0
85,3,94388.05,15,1308,15,50,0
86,3,113780.63,13,968,0,1,0
87,3,59224.11,9,1157,20,31,0
88,3,282563.25,28,1187,20,33,0
89,3,169074.39,23,1225,25,45,0
90,3,119743.6,21,1066,11,12,0
91,3,190217.4,15,1001,4,5,0
